;pseudo_provisoire;adresse_cleaned;codepost;nom_commune_postal;longitude_ref;latitude_ref;requete;x;y;score;trust_score;street;city;pc_city;code_dept;address
4545;0131012E; RUE DES ECOLES QUA VILLAGE;13140;MIRAMAS;5.024389768231181;43.56250536940308; RUE DES ECOLES QUA VILLAGE 13140 MIRAMAS;5.023905;43.562914;0.6171762937062937;middle;RUE DES ECOLES;MIRAMAS;13140;13;RUE DES ECOLES 13140 MIRAMAS
4569;0641243D;10 RUE BOURG VIEUX;64300;ORTHEZ;-0.7755567907158654;43.48679634563914;10 RUE BOURG VIEUX 64300 ORTHEZ;-0.775525;43.486783;0.96316;high;10 RUE BOURG-VIEUX;ORTHEZ;64300;64;10 RUE BOURG-VIEUX 64300 ORTHEZ
4607;0623377J; RUE COLBERT;62804;LIÉVIN;2.754349782292512;50.426571126265; RUE COLBERT 62804 LIÉVIN;2.75588;50.426258;0.4944358041958042;middle;RUE JEAN BAPTISTE COLBERT;LIÉVIN;62800;62;RUE JEAN BAPTISTE COLBERT 62800 LIÉVIN
4616;0720607U;21 RUE DU GRECO;72000;LE MANS;0.213135142177244;47.9740602088217;21 RUE DU GRECO 72000 LE MANS;0.194059;48.010434;0.6751817595307917;middle;21 RUE DU PRÉ;LE MANS;72000;72;21 RUE DU PRÉ 72000 LE MANS
4655;0131068R;1 ALLEE DU RHONE;13230;PORT-SAINT-LOUIS-DU-RHÔNE;4.802730448772589;43.38674776746789;1 ALLEE DU RHONE 13230 PORT-SAINT-LOUIS-DU-RHÔNE;4.816029;43.381888;0.662579090909091;middle;1 RUE DU PETIT RHÔNE;PORT-SAINT-LOUIS-DU-RHÔNE;13230;13;1 RUE DU PETIT RHÔNE 13230 PORT-SAINT-LOUIS-DU-RHÔNE
4666;0130458C; CHEMIN DE LA CROIX;13270;FOS-SUR-MER;4.946460553541199;43.43431189308987; CHEMIN DE LA CROIX 13270 FOS-SUR-MER;4.947012;43.434357;0.962210909090909;high;CHEMIN DE LA CROIX;FOS-SUR-MER;13270;13;CHEMIN DE LA CROIX 13270 FOS-SUR-MER
4679;0142234C; ROUTE DE PONT FARCY;14500;VIRE NORMANDIE;-0.8882701666952842;48.86030013505368; ROUTE DE PONT FARCY 14500 VIRE NORMANDIE;-0.893753;48.835464;0.534809881422925;middle;ROUTE DES VAUX;VIRE NORMANDIE;14500;14;ROUTE DES VAUX 14500 VIRE NORMANDIE
4680;0772078R; RUE DE LA MAIRIE;77185;LOGNES;2.627789183158817;48.83580321196543; RUE DE LA MAIRIE 77185 LOGNES;2.627789;48.835803;0.9648181818181817;high;RUE DE LA MAIRIE;LOGNES;77185;77;RUE DE LA MAIRIE 77185 LOGNES
4696;0560013K; RUE DE BRETAGNE;56308;PONTIVY;-2.974909705804426;48.0842567516204; RUE DE BRETAGNE 56308 PONTIVY;-2.969149;48.078627;0.7614509090909091;middle;RUE DE BRETAGNE;PONTIVY;56300;56;RUE DE BRETAGNE 56300 PONTIVY
4738;0332618S; AVENUE DU PAYS DE BUCH;33260;LA TESTE-DE-BUCH;-1.1392801372736068;44.61172667455694; AVENUE DU PAYS DE BUCH 33260 LA TESTE-DE-BUCH;-1.139046;44.612564;0.9641918181818181;high;AVENUE DU PAYS DE BUCH;LA TESTE-DE-BUCH;33260;33;AVENUE DU PAYS DE BUCH 33260 LA TESTE-DE-BUCH
4771;0291105U; PLACE DU CHATEAU;29671;MORLAIX;-3.82630933504932;48.57395580559768; PLACE DU CHATEAU 29671 MORLAIX;-3.825506;48.574902;0.7128509090909091;middle;PLACE DU CHÂTEAU;MORLAIX;29600;29;PLACE DU CHÂTEAU 29600 MORLAIX
4788;0491752N;1 RUE DES ECOLES;49150;BAUGÉ-EN-ANJOU;-0.1200695661424678;47.53223737468304;1 RUE DES ECOLES 49150 BAUGÉ-EN-ANJOU;-0.149707;47.625144;0.7120151239669422;middle;1 RUE DES ECOLES (FOUGERÉ);BAUGÉ-EN-ANJOU;49150;49;1 RUE DES ECOLES (FOUGERÉ) 49150 BAUGÉ-EN-ANJOU
4802;0623570U;26 RUE DU FOUR A CHAUX;62105;CALAIS;1.8583213564747445;50.94496373289567;26 RUE DU FOUR A CHAUX 62105 CALAIS;6.159755;48.753138;0.4273521925133689;middle;RUE DU CHAUX FOUR;BOUXIÈRES-AUX-DAMES;54136;54;RUE DU CHAUX FOUR 54136 BOUXIÈRES-AUX-DAMES
