;0
2145;0
2146;35
2147;45
2148;3
2149;3
2150;35
2151;40
2152;11
2153;35
2154;40
2155;0
2156;18
2157;14
2158;15
2159;26
2160;2
2161;2
2162;0
2163;16
2164;18
2165;35
2166;3
2167;3
2168;3
2169;35
2170;61
2171;35
2172;41
2173;37
2174;0
2175;37
2176;35
2177;26
2178;35
2179;0
2180;17
2181;3
2182;35
2183;0
2184;0
2185;0
2186;10
2187;54
2188;0
2189;5
2190;0
2191;5
2192;0
2193;0
2194;13
2195;0
2196;5
2197;26
2198;17
2199;2
2200;2
2201;35
2202;0
2203;0
2204;0
2205;3
2206;3
2207;14
2208;0
2209;0
2210;35
2211;35
2212;3
2213;3
2214;62
2215;35
2216;13
2217;19
2218;18
2219;12
2220;35
2221;35
2222;0
2223;0
2224;0
2225;0
2226;0
2227;18
2228;35
2229;35
2230;0
2231;5
2232;0
2233;0
2234;54
2235;5
2236;17
2237;35
2238;35
2239;15
2240;18
2241;15
2242;2
2243;2
2244;0
2245;52
2246;35
2247;40
2248;39
2249;0
2250;0
2251;17
2252;10
2253;0
2254;7
2255;0
2256;5
2257;2
2258;2
2259;2
2260;2
2261;14
2262;14
2263;35
2264;17
2265;35
2266;0
2267;10
2268;5
2269;0
2270;5
2271;35
2272;0
2273;5
2274;24
2275;15
2276;35
2277;35
2278;0
2279;5
2280;70
2281;35
2282;35
2283;35
2284;3
2285;3
2286;48
2287;21
2288;35
2289;40
2290;13
2291;22
2292;25
2293;35
2294;22
2295;6
2296;0
2297;5
2298;35
2299;35
2300;2
2301;7
2302;0
2303;11
2304;5
2305;26
2306;41
2307;13
2308;2
2309;2
2310;35
2311;35
2312;35
2313;63
2314;2
2315;2
2316;24
2317;35
2318;15
2319;15
2320;16
2321;35
2322;26
2323;39
2324;13
2325;0
2326;35
2327;35
2328;4
2329;20
2330;0
2331;5
2332;17
2333;35
2334;70
2335;0
2336;5
2337;16
2338;12
2339;0
2340;0
2341;20
2342;43
2343;18
2344;14
2345;35
2346;35
2347;12
2348;15
2349;35
2350;13
2351;15
2352;3
2353;3
2354;0
2355;5
2356;13
2357;0
2358;0
2359;2
2360;2
2361;27
2362;12
2363;0
2364;5
2365;14
2366;0
2367;21
2368;20
2369;14
2370;0
2371;5
2372;18
2373;0
2374;53
2375;5
2376;28
2377;2
2378;35
2379;0
2380;5
2381;0
2382;5
2383;35
2384;40
2385;35
2386;0
2387;0
2388;35
2389;40
2390;11
2391;44
2392;5
2393;0
2394;5
2395;78
2396;70
2397;0
2398;5
2399;0
2400;0
2401;53
2402;35
2403;70
2404;35
2405;35
2406;35
2407;70
2408;76
2409;15
2410;15
2411;35
2412;35
2413;26
2414;35
2415;35
2416;13
2417;0
2418;5
2419;0
2420;5
2421;0
2422;5
2423;44
2424;59
2425;3
2426;10
2427;0
2428;5
2429;11
2430;35
2431;15
2432;35
2433;38
2434;0
2435;5
2436;11
2437;35
2438;15
2439;35
2440;0
2441;0
2442;0
2443;11
2444;5
2445;2
2446;2
2447;4
2448;35
2449;40
2450;17
2451;15
2452;35
2453;17
2454;15
2455;35
2456;35
2457;15
2458;35
2459;0
2460;5
2461;0
2462;35
2463;35
2464;16
2465;16
2466;3
2467;3
2468;35
2469;35
2470;57
2471;11
2472;2
2473;2
2474;59
2475;41
2476;35
2477;15
2478;35
2479;12
2480;0
2481;0
2482;51
2483;15
2484;0
2485;0
2486;0
2487;20
2488;35
2489;16
2490;0
2491;5
2492;17
2493;0
2494;5
2495;23
2496;17
2497;2
2498;2
2499;17
2500;0
2501;0
2502;35
2503;35
2504;0
2505;35
2506;3
2507;3
2508;13
2509;50
2510;18
2511;18
2512;37
2513;37
2514;15
2515;19
2516;22
2517;15
2518;35
2519;26
2520;0
2521;0
2522;35
2523;35
2524;0
2525;19
2526;20
2527;35
2528;35
2529;28
2530;41
2531;18
2532;0
2533;0
2534;0
2535;35
2536;36
2537;24
2538;35
2539;35
2540;35
2541;0
2542;5
2543;35
2544;35
2545;35
2546;35
2547;2
2548;35
2549;41
2550;0
2551;5
2552;35
2553;21
2554;7
2555;49
2556;55
2557;0
2558;5
2559;35
2560;17
2561;11
2562;0
2563;5
2564;16
2565;35
2566;35
2567;56
2568;14
2569;0
2570;5
2571;41
2572;17
2573;35
2574;0
2575;0
2576;35
2577;15
2578;41
2579;13
2580;0
2581;0
2582;35
2583;35
2584;35
2585;35
2586;59
2587;2
2588;2
2589;19
2590;35
2591;0
2592;35
2593;53
2594;40
2595;0
2596;0
2597;35
2598;0
2599;5
2600;16
2601;35
2602;8
2603;3
2604;0
2605;35
2606;2
2607;2
2608;35
2609;12
2610;16
2611;55
2612;61
2613;0
2614;12
2615;10
2616;11
2617;35
2618;3
2619;0
2620;0
2621;35
2622;19
2623;23
2624;35
2625;35
2626;35
2627;56
2628;23
2629;35
2630;35
2631;35
2632;40
2633;14
2634;18
2635;0
2636;0
2637;57
2638;0
2639;5
2640;35
2641;41
2642;35
2643;40
2644;35
2645;44
2646;0
2647;0
2648;0
2649;5
2650;13
2651;35
2652;17
2653;16
2654;17
2655;18
2656;35
2657;11
2658;24
2659;35
2660;11
2661;8
2662;0
2663;5
2664;21
2665;0
2666;18
2667;2
2668;2
2669;35
2670;22
2671;0
2672;0
2673;17
2674;14
2675;0
2676;11
2677;5
2678;18
2679;0
2680;5
2681;35
2682;0
2683;0
2684;19
2685;35
2686;0
2687;15
2688;15
2689;0
2690;0
2691;16
2692;18
2693;0
2694;35
2695;35
2696;40
2697;36
2698;0
2699;0
2700;13
2701;35
2702;2
2703;2
2704;3
2705;35
2706;41
2707;19
2708;18
2709;0
2710;5
2711;13
2712;54
2713;4
2714;10
2715;10
2716;19
2717;16
2718;37
2719;37
2720;0
2721;35
2722;19
2723;35
2724;40
2725;35
2726;0
2727;10
2728;35
2729;35
2730;35
2731;18
2732;12
2733;5
2734;5
2735;35
2736;40
2737;35
2738;18
2739;0
2740;0
2741;25
2742;6
2743;6
2744;0
2745;0
2746;5
2747;0
2748;5
2749;17
2750;50
2751;0
2752;23
2753;0
2754;5
2755;7
2756;35
2757;0
2758;11
2759;5
2760;22
2761;0
2762;0
2763;0
2764;5
2765;2
2766;2
2767;35
2768;35
2769;11
2770;14
2771;35
2772;0
2773;10
2774;58
2775;14
2776;35
2777;61
2778;0
2779;15
2780;35
2781;8
2782;35
2783;40
2784;35
2785;40
2786;12
2787;35
2788;22
2789;35
2790;55
2791;35
2792;40
2793;44
2794;36
2795;22
2796;13
2797;0
2798;5
2799;22
2800;35
2801;70
2802;0
2803;5
2804;35
2805;9
2806;16
2807;35
2808;12
2809;57
2810;19
2811;35
2812;52
2813;40
2814;15
2815;35
2816;40
2817;35
2818;35
2819;18
2820;43
2821;1
2822;1
2823;15
2824;0
2825;5
2826;0
2827;0
2828;45
2829;34
2830;34
2831;17
2832;35
2833;35
2834;14
2835;13
2836;35
2837;35
2838;10
2839;10
2840;7
2841;46
2842;18
2843;35
2844;2
2845;2
2846;3
2847;35
2848;35
2849;0
2850;5
2851;35
2852;15
2853;35
2854;6
2855;0
2856;5
2857;4
2858;4
2859;12
2860;16
2861;0
2862;5
2863;0
2864;10
2865;35
2866;0
2867;5
2868;78
2869;8
2870;35
2871;20
2872;0
2873;19
2874;35
2875;17
2876;15
2877;0
2878;22
2879;14
2880;0
2881;5
2882;35
2883;40
2884;0
2885;46
2886;5
2887;46
2888;35
2889;15
2890;0
2891;5
2892;15
2893;3
2894;3
2895;0
2896;19
2897;0
2898;5
2899;2
2900;2
2901;15
2902;36
2903;11
2904;0
2905;0
2906;0
2907;35
2908;41
2909;0
2910;5
2911;0
2912;1
2913;0
2914;5
2915;3
2916;3
2917;46
2918;36
2919;21
2920;2
2921;2
2922;35
2923;14
2924;14
2925;11
2926;17
2927;3
2928;3
2929;0
2930;0
2931;35
2932;35
2933;35
2934;16
2935;41
2936;16
2937;35
2938;36
2939;0
2940;0
2941;35
2942;41
2943;0
2944;0
2945;35
2946;0
2947;11
2948;5
2949;50
2950;0
2951;5
2952;18
2953;13
2954;35
2955;18
2956;0
2957;0
2958;51
2959;35
2960;22
2961;35
2962;35
2963;0
2964;18
2965;24
2966;16
2967;10
2968;35
2969;27
2970;2
2971;13
2972;35
2973;35
2974;35
2975;13
2976;0
2977;10
2978;12
2979;13
2980;3
2981;3
2982;15
2983;20
2984;3
2985;3
2986;16
2987;35
2988;35
2989;0
2990;53
2991;5
2992;0
2993;5
2994;35
2995;4
2996;3
